"","filename","X","Y","HitOrder","SPP","STATUS","TISSUE","CanopyHeight.mm.","Extra.sp","SITE","PLOT","TRTMT","Observer","DATE","TOMST","Flag","Flag.1","SPP_sub"
"200","SAL_1C.csv",90,90,"Bottom","x","","","","","Salix","1","control","joanna","sept 25 2022","","","","x"
"201","SAL_2W.csv",0,0,"Top","x","","","","","Salix","2","warming","joanna","sept 25 2022","","","","x"
"202","SAL_2W.csv",0,0,"Bottom","x","","","","","Salix","2","warming","joanna","sept 25 2022","","","","x"
"203","SAL_2W.csv",10,0,"Top","x","","","","","Salix","2","warming","joanna","sept 25 2022","","","","x"
"204","SAL_2W.csv",10,0,"Bottom","x","","","","","Salix","2","warming","joanna","sept 25 2022","","","","x"
"205","SAL_2W.csv",20,0,"Top","x","","","","","Salix","2","warming","joanna","sept 25 2022","","","","x"
"206","SAL_2W.csv",20,0,"Bottom","x","","","","","Salix","2","warming","joanna","sept 25 2022","","","","x"
"207","SAL_2W.csv",30,0,"Top","x","","","","","Salix","2","warming","joanna","sept 25 2022","","","","x"
"208","SAL_2W.csv",30,0,"Bottom","x","","","","","Salix","2","warming","joanna","sept 25 2022","","","","x"
"209","SAL_2W.csv",40,0,"Top","x","","","","","Salix","2","warming","joanna","sept 25 2022","","","","x"
"210","SAL_2W.csv",40,0,"Bottom","x","","","","","Salix","2","warming","joanna","sept 25 2022","","","","x"
"211","SAL_2W.csv",50,0,"Top","x","","","","","Salix","2","warming","joanna","sept 25 2022","","","","x"
"212","SAL_2W.csv",50,0,"Bottom","x","","","","","Salix","2","warming","joanna","sept 25 2022","","","","x"
"213","SAL_2W.csv",60,0,"Top","x","","","","","Salix","2","warming","joanna","sept 25 2022","","","","x"
"214","SAL_2W.csv",60,0,"Bottom","x","","","","","Salix","2","warming","joanna","sept 25 2022","","","","x"
"215","SAL_2W.csv",70,0,"Top","x","","","","","Salix","2","warming","joanna","sept 25 2022","","","","x"
"216","SAL_2W.csv",70,0,"Bottom","x","","","","","Salix","2","warming","joanna","sept 25 2022","","","","x"
"217","SAL_2W.csv",80,0,"Top","x","","","","","Salix","2","warming","joanna","sept 25 2022","","","","x"
"218","SAL_2W.csv",80,0,"Bottom","x","","","","","Salix","2","warming","joanna","sept 25 2022","","","","x"
"219","SAL_2W.csv",90,0,"Top","x","","","","","Salix","2","warming","joanna","sept 25 2022","","","","x"
"220","SAL_2W.csv",90,0,"Bottom","x","","","","","Salix","2","warming","joanna","sept 25 2022","","","","x"
"221","SAL_2W.csv",0,10,"Top","other","","","0","","Salix","2","warming","joanna","sept 25 2022","","","","other"
"222","SAL_2W.csv",0,10,"Bottom","soil","","","","","Salix","2","warming","joanna","sept 25 2022","","","","soil"
"223","SAL_2W.csv",10,10,"Top","other","","","0","","Salix","2","warming","joanna","sept 25 2022","","","","other"
"224","SAL_2W.csv",10,10,"Bottom","soil","","","","","Salix","2","warming","joanna","sept 25 2022","","","","soil"
"225","SAL_2W.csv",20,10,"Top","other","","","0","","Salix","2","warming","joanna","sept 25 2022","","","","other"
"226","SAL_2W.csv",20,10,"Bottom","soil","","","","","Salix","2","warming","joanna","sept 25 2022","","","","soil"
"227","SAL_2W.csv",30,10,"Top","other","","","0","","Salix","2","warming","joanna","sept 25 2022","","","","other"
"228","SAL_2W.csv",30,10,"Bottom","soil","","","","","Salix","2","warming","joanna","sept 25 2022","","","","soil"
"229","SAL_2W.csv",40,10,"Top","caraur","live","leaf","4","","Salix","2","warming","joanna","sept 25 2022","","","","caraur"
"230","SAL_2W.csv",40,10,"Bottom","soil","","","","","Salix","2","warming","joanna","sept 25 2022","","","","soil"
"231","SAL_2W.csv",50,10,"Top","salbar","live","leaf","24","","Salix","2","warming","joanna","sept 25 2022","","","","salbar"
"232","SAL_2W.csv",50,10,"Bottom","soil","","","","","Salix","2","warming","joanna","sept 25 2022","","","","soil"
